Source,Target
雷振汉,4D城市基盘
叶宇,Geodesign和大数据时代的城市规划与设计
李渊,GIS
张云金,GIS的科普
蒋波涛,GIS集成与应用
王江浩,Open GIS
王江浩,R
王江浩,VGI
张国华,产业发展和空间规划与交通规划结合
叶宇,场所营造
王波,城市地理
申悦,城市地理学
王静远,城市动态的统计力学研究
韩昊英,城市发展
王静远,城市浮动车轨迹数据挖掘
宋刚,城市复杂性
王静远,城市公共卫生大数据挖掘
杜竞强,城市公共政策数据分析
李渊,城市规划
沈振江,城市规划
甄峰,城市规划
王江浩,城市规划
韩昊英,城市规划与管理
周恺,城市和区域空间数据分析
魏宗才,城市化
郭冠华,城市环境遥感
高松,城市计算
毛荣昌,城市交通规划
杜竞强,城市经济学
柴彦威,城市空间结构
龙瀛,城市空间结构研究
叶宇,城市空间形态
茅明睿,城市三维仿真
吴忠才,城市商圈空间结构问题
叶宇,城市设计
申悦,城市社会地理学
马晋,城市数据对于法定规划和城市设计的作用
马晋,城市数据信息化对法定规划和城市设计作用
龙瀛,城市系统微观模拟
沈振江,城市系统微观模拟
吴志峰,城市遥感与地理空间分析
席广亮,城市与区域规划
魏宗才,城市与区域规划
申悦,城市与区域规划
柴彦威,城市与区域规划研究
王伟,城市与区域可持续规划理论与方法
周恺,城乡规划新技术应用
刘瑜,出行与交通
龙瀛,大数据
王文俊,大数据处理及云计算平台
马晋,大数据的可视化分析
谭英嘉,大数据分析
马德峰,大数据可视化与分析
甄峰,大数据应用
李栋,大数据与智慧城市
王鹏,大数据支持的城市规划新技术
王江浩,地理大数据分析与可视化
贾敦新,地理分析
贾敦新,地理设计
黄骞,地理信息标准
贾敦新,地理信息公共服务平台建设
高松,地理信息检索
刘瑜,地理信息科学
申悦,地理信息科学
茅明睿,地理信息系统
黄骞,地理信息应用方案
高松,地名库
陈军,地球科学动力模型
刘瑜,地学分类
陈军,地学可视化
赖世刚,电脑模拟
郑磊,电子政府准备度评估与绩效评估
张楠,电子政务与网络治理
郑磊,电子治理与电子政务
叶宇,定量化的城市设计辅助
叶宇,定量化的城市设计辅助
赖世刚,都市空间模式
沈浩,多变量数据分析
王伟,多尺度空间公共政策研究
沈振江,多智能体系统与规划支持
张云金,泛GIS技术的应用
王文俊,非常规人类行为动力学
黄骞,分布式地理信息系统
付志勇,服务设计
吴志峰,复杂地表过程及其环境效应
韩昊英,复杂理论
潘林,复杂网络
贾敦新,高保真数字高程模型构建关键技术研究
刘瑜,个体行为模式分析
张楠,公共大数据与政策信息学
谭英嘉,公交决策系统
李渊,规划定量化评估
贾敦新,规划分析
王鹏,规划工具软件研发
蒋波涛,规划信息化
龙瀛,规划支持系统
沈振江,规划支持系统
赖世刚,规划支持系统
李渊,规划支持系统
柴彦威,行为地理学
申悦,行为地理学
尹凌,行为地理学
王江浩,环境遥感应用
张国华,基于大数据的新型规划模型开发
马晋,基于大数据应用的城市公共空间形态研究
刘瑜,基于对象的遥感图像分析
王静远,基于矩阵学习的城市演进模式挖掘
王大川,建筑行人流安全仿真
雷振汉,建筑信息模型
王大川,建筑性能模拟
付志勇,交互设计
尹凌,交通地理信息系统
毛荣昌,交通影响分析
毛荣昌,交通预测
吴志峰,景观生态与人居环境
韩昊英,决策分析与规划分析
金耀辉,开放数据
高丰,开放数据
徐子涵,开放数据
郑磊,开放政府数据
金耀辉,开源云计算软件
周恺,可持续城市更新中的规划支持系统发展
雷振汉,可视化应用
高松,空间大数据
李渊,空间分析
李渊,空间行为研究
叶宇,空间句法
高松,空间数据融合算法
高松,空间网络分析
郑磊,跨边界信息共享与协同
席广亮,流动空间
沈振江,区域规划
王波,区域规划
李栋,区域与城市生态规划
王伟,全球城市群区域比较研究
高丰,人机交互
潘林,人类动力学
付志勇,社会创新
沈浩,社会网络分析
王伟,生态智慧城市投融资研究
柴彦威,时间地理学
刘瑜,时间地理学
陈军,时空大数据挖掘
王江浩,时空地统计学
叶宇,时空行为数据的GIS分析方法
高松,时空可视化分析
陈军,时空数据分析开源工具栈
陈军,时空数据模型
王江浩,时空数据挖掘
尹凌,时空数据挖掘与隐私保护
沈浩,市场研究定量模型
沈浩,数据可视化
倪楷,数据可视化方向
沈浩,数据挖掘
茅明睿,数据挖掘
宋刚,数字城市
茅明睿,数字规划技术
宋刚,数字市政
谭英嘉,调查新技术
沈浩,统计分析
赖世刚,土地管理决策分析
雷振汉,土木信息模型
毛荣昌,微观交通仿真
高松,文献计量学
张国华,新型综合交通规划技术体系
魏宗才,信息化城市
宋刚,信息化城市管理系统黄骞
付志勇,信息设计
雷振汉,虚拟现实
沈振江,虚拟现实
甄峰,宜居城市
魏宗才,宜居社区
郑磊,移动公共服务
马德峰,移动互联网
金耀辉,移动网络流量挖掘
郑磊,政府社会化媒体应用
徐子涵,政府数据
郑磊,政府信息管理与政策
茅明睿,知识管理
王文俊,智慧安全.智慧地球.智慧城市
甄峰,智慧城市
马德峰,智慧城市
席广亮,智慧城市
宋刚,智慧城市
潘林,智慧城市
郑磊,智慧城市
罗俊,智慧城市ICT平台
王鹏,智慧城市顶层设计方法
张楠,智慧城市发展理论与规划方法
柴彦威,智慧城市规划与管理
付志勇,智慧城市研究
张国华,综合交通枢纽整体规划设计
贾敦新,综合市情信息系统建设
